"id_k","id_tenant","nama","status"
,612,teliti,1
,613,Ego eko shop,1
,614,ekkyta collection,1
,615,berseri.id,1
,616,maharkarya.idn,1
,617,kuma.mudo,1
,618,cooo.kies,1
42,619,bikinke.nanees,1
,620,Oh by Us,1
,621, Telaten (Crochet By Telatan),1
,622,Choose Yours Here,1
,623,Akara Wellness,1
,624,Mine Felt Craft,1
,625,Tangankoe,1
,626,Panarima Indonesia,1
,627,Racellin Eyewear,1
,628,Lipcraft,1
42,629,Babaparfume Semarang ,1
,630,elaliceid,1
,631,Tropeace,1
,632,BaliDrip,1
32,633,YOMAKAN,1
,634,Craftonesia,1
31,635,Swalayan Bali ,1
31,636,TOKO BUKU MERBABU SEMARANG ,1
,637,NINE,1
,638,Laker Rifda,1
,639, Aisy Batik Semarang,1
,640,Bandeng Populer,1
32,641,Amani Cakes & Cookies,1
,642,De Widji Lukis,1
,643,Dina art,1
,644,TAHTA Collection,1
,645, Batik Candrapuspa,1
32,646,Raja icecream Semarang,1
19,647,Optik Metro,1
13,648,SWALAYAN ANEKA JAYA WM,1
44,649,Pasar Johar Basement,1
16,650,Hotel Noormans Semarang,1
,651,Toko bandeng presto,1
38,652,Mindful Body Massage ,1
16,653,ibis Semarang Simpang Lima,1
16,654,Hotel MG Suites,1
31,655,Dyriana Bakery & Elrina Resto,1
42,656,PKL BATAN SELATAN,1
42,657,Pasar Sampangan,1
42,658,Pasar Johar 1,1
42,659,PASAR JATINGALEH ,1
12,660,PKL TAMAN INDONESIA KAYA ,1
42,661,PKL SEMAWIS ,1
42,662,PKL KALISARI,1
42,663,PKL SIMPANGLIMA ,1
42,664,PASAR KARANGAYU ,1
42,665,PASAR WONODRI ,1
42,666,PASAR JOHAR 2,1
13,667,PASAR PETERONGAN ,1
13,668,PASAR GAYAMSARI,1
42,669,PASAR PEDURUNGAN ,1
42,670,PASAR BULU,1
32,671,PASAR RASAMALA,1
16,672,Hotel Dafam Semarang,1
16,673,Hotel horison kota lama semarang,1
13,674,CANDRA,1
20,675,ATLANTA ELECTRONICS,1
16,676,Amaris Hotel Simpang Lima Semarang,1
16,677,Hotel Amaris Pemuda Semarang,1
16,678,Hotel Kesambi Hijau ,1
16,679,Allstay Hotel Semarang,1
16,680,Hotel Pantes Simpang 5 ,1
16,681,Whiz Hotel Pemuda Semarang,1
16,682,HARRIS Hotel Sentraland Semarang,1
16,683,Gets Hotel Semarang,1
15,684,CAPEM UNNES,1
15,685,CAPEM KALIGAWE,1
15,686,CAPEM SAMPANGAN,1
15,687,CAPEM JOHAR,1
15,688,CAPEM POLINES,1
,689,CAPEM NGALIYAN,1
15,690,BankJateng KCP Plasa Simpang Lima,1
,691,CAPEM SATRIO WIBOWO,1
15,692,CAPEM KAGOK,1
15,693,CAPEM MAJAPAHIT,1
15,694,CAPEM METRO Bank Jateng,1
15,695,CAPEM UDINUS,1
15,696,CAPEM BANYUMANIK,1
17,697,The Arena Mini Soccer,1
20,698,SMS SHOP SEMARANG,1
42,699,PAK RAHMAN ,1
,700,"Mie dakocan, dimsum, geprek cha'ndut ",1
32,701,TAHU GO BANYUMANIK,1
13,702,Pasar Peterongan 1,1
28,703,Nasmoco,1
32,704,Johana's Allshop,1
32,705,Luci Salon,1
42,706,catzone,1
,707,AZZAHRA26 Apotek,1
32,708,Bayus shop,1
32,709,dawet ireng nyoto,1
,710,PT. Bukit Semarang Jayametro,0
12,711,Dong Jati Resto 2,1
,712,Bengkel Nasmoco,1
,713,Rumah Seduh Amanah ,1
,714,Locafuds kelud,1
,715,Locafuds Siliwangi,1
,716,Matera Coffee,1
,717,Vins Coffee ,1
,718,Kayo Coffee and Space,1
,719,Arus Balik Coffee and Space ,1
,720,Ka.ma Coffee,1
,721,Kopi Bersamamu,1
,722,Urban Plus Coffee & Kitchen,1
,723," ""KORA"" Kopi Rakyat Semarang",1
,724,Tentou The Sky Scape,1
,725,Teman Kerja Coffee,1
,726,Adhum Coffee,1
,727,Senandika coffee n chill,1
,728,Antarakata Coffee ,1
18,729,MS Glow Aesthetic Clinic Semarang,1
38,730,Jetski Safari Semarang ,1
42,731,UMKM LAMPER KIDUL,1
,732,Kofitiere,1
15,733,BNI Kantor Wilayah 05 (Semarang),1
42,734,UMKM JANGLI,1
,735,OKADE SPACE,1
,736,Genapp,0
,737,NEXA,1
,738,Rosefield Coffee & Eatery,1
,739,Ngunjuk Kopi Semarang,1
13,740,SKITCHEN,1
13,741,Hitz Market ,1
20,742,UFO Semarang,1
42,743,ICSB Gelar Karya Merdeka,1
